SN,RE_A4,RE_D4,RE_D3,RE_D2,RE_D1,SD_A4,SD_D4,SD_D3,SD_D2,SD_D1,Condition
95,0.999951,0.000025,0.000015,0.000002,0.000008,39.048977,0.211665,0.114584,0.030484,0.041475,L
96,0.999953,0.000024,0.000014,0.000002,0.000007,39.901142,0.210680,0.114839,0.030532,0.041541,L
97,0.999951,0.000008,0.000029,0.000003,0.000010,0.081383,0.000854,0.001178,0.000249,0.000338,G
98,0.999962,0.000019,0.000011,0.000002,0.000006,46.443872,0.221760,0.119841,0.031892,0.043390,L
99,0.999954,0.000023,0.000014,0.000002,0.000007,48.244424,0.251516,0.137738,0.036655,0.049870,L
100,0.999956,0.000022,0.000013,0.000002,0.000007,5.503001,0.028369,0.015388,0.004089,0.005563,G
101,0.999963,0.000019,0.000011,0.000002,0.000006,47.648687,0.223045,0.121052,0.032223,0.043840,L
102,0.999954,0.000023,0.000014,0.000002,0.000007,49.347879,0.256831,0.140031,0.037257,0.050688,L
103,0.999966,0.000017,0.000010,0.000001,0.000005,45.630093,0.202511,0.110749,0.029431,0.040040,L
104,0.999989,0.000005,0.000004,0.000000,0.000002,0.611113,0.002611,0.001627,0.000409,0.000556,EXT
105,0.999993,0.000003,0.000003,0.000000,0.000001,0.600709,0.002017,0.001358,0.000332,0.000451,EXT
106,0.999992,0.000003,0.000003,0.000000,0.000001,0.596487,0.002112,0.001405,0.000345,0.000470,EXT
107,0.999989,0.000005,0.000004,0.000000,0.000002,0.611113,0.002611,0.001627,0.000409,0.000556,EXT
108,0.999993,0.000003,0.000003,0.000000,0.000001,0.600709,0.002017,0.001358,0.000332,0.000451,EXT
